"Reporting.Area","MMWR.YEAR","MMWR.WEEK","All.causes.by.age..years..All.Ages","All.causes.by.age..years..All.Ages.flag","All.causes.by.age..years..GE.65","All.causes.by.age..years..GE.65.flag","All.causes.by.age..years..45.ÛÒ64","All.causes.by.age..years..45.ÛÒ64.flag","All.causes.by.age..years..25.ÛÒ44","All.causes.by.age..years..25.ÛÒ44.flag","All.causes.by.age..years..1.ÛÒ24","All.causes.by.age..years..1.ÛÒ24.flag","All.causes.by.age..years..LT.1","All.causes.by.age..years..LT.1.flag","Total","Location.1"
"41","Akron OH",2014,1,42,"",27,"",11,"",2,"",2,"",NA,"",5,"Akron OH
 (41.08419170600047 81.51405901999965)"
"42","Fort Wayne IN",2014,1,75,"",52,"",20,"",3,"",NA,"",NA,"",4,"Fort Wayne IN
 (41.08026149200049 85.13830990099967)"
"43","Ogden UT",2014,1,44,"",34,"",8,"",1,"",1,"",NA,"",4,"Ogden UT
 (41.22236104300049 111.97047620299969)"
"44","Springfield MA",2014,1,32,"",23,"",7,"",2,"",NA,"",NA,"",1,"Springfield MA
 (42.10125058000045 72.58928991799962)"
"45","Boise ID",2014,1,73,"",51,"",19,"",1,"",1,"",1,"",5,"Boise ID
 (43.6069823790005 116.1934057949997)"
"46","Houston TX",2014,1,538,"",344,"",136,"",43,"",11,"",4,"",29,"Houston TX
 (29.760451522000437 95.36977674999969)"
"47","Dallas TX",2014,1,223,"",136,"",66,"",14,"",6,"",1,"",14,"Dallas TX
 (32.778154335000465 96.79539918599966)"
"48","Chicago IL",2014,1,63,"",47,"",11,"",2,"",3,"",NA,"",6,"Chicago IL
 (41.88425366500047 87.63244574499964)"
"49","Glendale CA",2014,1,29,"",22,"",7,"",NA,"",NA,"",NA,"",5,"Glendale CA
 (34.146333127000446 118.24863950799971)"
"50","Jacksonville FL",2014,1,173,"",121,"",41,"",4,"",2,"",5,"",14,"Jacksonville FL
 (30.331471355000474 81.65621662999968)"
"51","Reading PA",2014,1,43,"",36,"",4,"",3,"",NA,"",NA,"",1,"Reading PA
 (40.33662042900045 75.92783660599963)"
"52","Gary IN",2014,1,6,"",3,"",2,"",1,"",NA,"",NA,"",NA,"Gary IN
 (41.603712343000495 87.33716612199964)"
"53","Tacoma WA",2014,1,93,"",66,"",17,"",8,"",2,"",NA,"",7,"Tacoma WA
 (47.255127174000506 122.44163694999969)"
"54","San Francisco CA",2014,1,108,"",75,"",27,"",5,"",1,"",NA,"",5,"San Francisco CA
 (37.777122455000494 122.4196366869997)"
"55","Richmond VA",2014,1,42,"",31,"",7,"",3,"",NA,"",1,"",NA,"Richmond VA
 (37.54070224600048 77.43364879599966)"
"56","Cleveland OH",2014,1,217,"",152,"",43,"",19,"",3,"",NA,"",19,"Cleveland OH
 (41.50475135200048 81.69071765199965)"
"57","Wilmington DE",2014,1,12,"",8,"",3,"",NA,"",1,"",NA,"",NA,"Wilmington DE
 (39.7402328550005 75.55083980499967)"
"58","Erie PA",2014,1,34,"",27,"",5,"",NA,"",1,"",1,"",NA,"Erie PA
 (42.1294409300005 80.08523881899964)"
"59","Nashville TN",2014,1,145,"",89,"",39,"",10,"",4,"",3,"",13,"Nashville TN
 (36.16784292800048 86.77815577199965)"
"60","Tulsa OK",2014,1,51,"",47,"",4,"",NA,"",NA,"",NA,"",2,"Tulsa OK
 (36.149741615000494 95.99332745899966)"
"61","Sacramento CA",2014,1,207,"",147,"",46,"",7,"",6,"",1,"",19,"Sacramento CA
 (38.57933263300049 121.49089596399972)"
"62","Worcester MA",2014,1,78,"",53,"",20,"",3,"",1,"",1,"",11,"Worcester MA
 (42.26341208400049 71.80218873199965)"
"63","Canton OH",2014,1,28,"",21,"",7,"",NA,"",NA,"",NA,"",2,"Canton OH
 (40.79781312300048 81.37156644799967)"
"64","Buffalo NY",2014,1,167,"",113,"",41,"",9,"",1,"",3,"",18,"Buffalo NY
 (42.88544430100046 78.87845781999965)"
"65","Washington D.C.",2014,1,99,"",63,"",29,"",6,"",NA,"",1,"",14,"Washington D.C.
 (38.89510854700046 77.03636591599968)"
"66","Chattanooga TN",2014,1,70,"",51,"",15,"",4,"",NA,"",NA,"",8,"Chattanooga TN
 (35.046441350000464 85.30945730199966)"
"67","New Bedford MA",2014,1,25,"",16,"",7,"",2,"",NA,"",NA,"",2,"New Bedford MA
 (41.637672961000476 70.93086932199964)"
"68","Schenectady NY",2014,1,28,"",20,"",7,"",NA,"",1,"",NA,"",4,"Schenectady NY
 (42.8122530060005 73.94101987199963)"
"69","Kansas City KS",2014,1,24,"",12,"",7,"",3,"",NA,"",2,"",3,"Kansas City KS
 (39.11352011100047 94.6268190079997)"
"70","St. Paul MN",2014,1,66,"",43,"",16,"",3,"",NA,"",4,"",9,"St. Paul MN
 (44.9438177180005 93.09331667699968)"
"71","Albany NY",2014,1,49,"",35,"",13,"",NA,"",1,"",NA,"",4,"Albany NY
 (42.65155193300046 73.75520562899965)"
"72","Albuquerque NM",2014,1,104,"",82,"",17,"",4,"",1,"",NA,"",7,"Albuquerque NM
 (35.08418033400045 106.64863657599966)"
"73","El Paso TX",2014,1,46,"",32,"",11,"",2,"",1,"",NA,"",NA,"El Paso TX
 (31.759161618000462 106.4874888869997)"
"74","Norfolk VA",2014,1,63,"",37,"",20,"",4,"",2,"",NA,"",2,"Norfolk VA
 (36.84682304600045 76.28505728799968)"
"75","Las Vegas NV",2014,1,404,"",277,"",94,"",25,"",3,"",5,"",27,"Las Vegas NV
 (36.17191159200047 115.13996564999968)"
"76","Charlotte NC",2014,1,136,"",82,"",33,"",14,"",2,"",5,"",5,"Charlotte NC
 (35.22286327700044 80.83795956899968)"
"77","Columbus OH",2014,1,160,"",95,"",48,"",12,"",2,"",3,"",9,"Columbus OH
 (39.96199068800047 83.00274798399965)"
"78","Waterbury CT",2014,1,31,"",24,"",5,"",1,"",1,"",NA,"",3,"Waterbury CT
 (41.55407106600046 73.04616830899965)"
"79","Toledo OH",2014,1,82,"",56,"",19,"",2,"",2,"",3,"",6,"Toledo OH
 (41.65381363300048 83.53625660699964)"
"80","Dayton OH",2014,1,116,"",84,"",19,"",5,"",4,"",4,"",8,"Dayton OH
 (39.75911127900048 84.19443785699968)"
"81","Lexington KY",2014,1,40,"",27,"",11,"",2,"",NA,"",NA,"",2,"Lexington KY
 (38.04859302400047 84.50031565799964)"
"82","Philadelphia PA",2014,1,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Philadelphia PA
 (39.95228127500047 75.16244984999963)"
"83","Spokane WA",2014,1,71,"",47,"",17,"",4,"",1,"",2,"",5,"Spokane WA
 (47.65725947700048 117.41227666799972)"
"84","Tampa FL",2014,1,103,"",69,"",21,"",11,"",1,"",1,"",13,"Tampa FL
 (27.946532922000472 82.45926644299965)"
"85","Miami FL",2014,1,53,"",40,"",7,"",5,"",1,"",NA,"",1,"Miami FL
 (25.77481304000048 80.19772778299966)"
"86","Somerville MA",2014,1,2,"",NA,"",2,"",NA,"",NA,"",NA,"",NA,"Somerville MA
 (42.38668233800047 71.09825622299962)"
"87","Evansville IN",2014,1,51,"",35,"",13,"",3,"",NA,"",NA,"",3,"Evansville IN
 (37.97708100100044 87.56404663099966)"
"88","Berkeley CA",2014,1,15,"",13,"",1,"",NA,"",NA,"",1,"",2,"Berkeley CA
 (37.86988442700044 122.2705386769997)"
"89","San Jose CA",2014,1,196,"",156,"",28,"",6,"",4,"",2,"",16,"San Jose CA
 (37.33858208200047 121.8855697949997)"
"90","Pittsburgh PAå¤",2014,1,63,"",49,"",12,"",2,"",NA,"",NA,"",9,"Pittsburgh PA
 (40.43834150200047 79.99746553899968)"
"91","Lansing MI",2014,1,31,"",23,"",7,"",1,"",NA,"",NA,"",1,"Lansing MI
 (42.731942666000464 84.55224806999968)"
"92","New York City NY",2014,1,1073,"",728,"",252,"",68,"",16,"",8,"",54,"New York City NY
 (40.71455065700047 74.00711891899965)"
"93","Austin TX",2014,1,104,"",70,"",22,"",8,"",NA,"",4,"",7,"Austin TX
 (30.267600919000472 97.74297813599969)"
"94","Salt Lake City UT",2014,1,139,"",95,"",29,"",11,"",3,"",1,"",16,"Salt Lake City UT
 (40.92177563200045 111.9868580479997)"
"95","Hartford CT",2014,1,45,"",40,"",4,"",1,"",NA,"",NA,"",3,"Hartford CT
 (41.763493388000484 72.67401728199962)"
"96","Lynn MA",2014,1,3,"",3,"",NA,"",NA,"",NA,"",NA,"",NA,"Lynn MA
 (42.463701125000455 70.95021669199963)"
"97","St. Louis MO",2014,1,61,"",30,"",20,"",6,"",2,"",3,"",3,"St. Louis MO
 (38.62775018400049 90.19955850799965)"
"98","Knoxville TN",2014,1,73,"",47,"",13,"",10,"",1,"",2,"",1,"Knoxville TN
 (35.960492900000474 83.92090839299965)"
"99","Allentown PA",2014,1,24,"",20,"",3,"",1,"",NA,"",NA,"",1,"Allentown PA
 (40.6026020970005 75.47025702899964)"
"100","Baton Rouge LA",2014,1,87,"",58,"",25,"",3,"",1,"",NA,"",NA,"Baton Rouge LA
 (30.443343989000482 91.18698893099969)"
"101","Phoenix AZ",2014,1,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Phoenix AZ
 (33.448260210000456 112.0757657309997)"
"102","Fort Worth TX",2014,1,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Fort Worth TX
 (32.750951005000445 97.33085951799967)"
"103","Omaha NE",2014,1,67,"",45,"",11,"",6,"",5,"",NA,"",8,"Omaha NE
 (41.2606940230005 95.94058667399969)"
"104","Cambridge MA",2014,1,19,"",17,"",1,"",1,"",NA,"",NA,"",NA,"Cambridge MA
 (42.36679009800048 71.10600946299962)"
"105","Shreveport LA",2014,1,43,"",27,"",14,"",1,"",1,"",NA,"",3,"Shreveport LA
 (32.51461118700047 93.74726848099965)"
"106","Detroit MI",2014,1,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"Detroit MI
 (42.331681680000486 83.04799903299966)"
"107","Providence RI",2014,1,52,"",38,"",11,"",1,"",NA,"",2,"",1,"Providence RI
 (41.82387129300048 71.41198998599964)"
"108","Indianapolis IN",2014,1,159,"",100,"",44,"",9,"",5,"",1,"",8,"Indianapolis IN
 (39.76691364600049 86.14995579899966)"
"109","Montgomery AL",2014,1,41,"",24,"",14,"",1,"",NA,"",2,"",2,"Montgomery AL
 (32.38012195900046 86.30062589499965)"
"110","Colorado Springs CO",2014,1,100,"",74,"",19,"",3,"",3,"",1,"",6,"Colorado Springs CO
 (38.83343433700048 104.82180632899968)"
"111","Yonkers NY",2014,1,17,"",13,"",1,"",2,"",NA,"",1,"",1,"Yonkers NY
 (40.93299013900048 73.89873881399967)"
"112","Corpus Christi TX",2014,1,53,"",34,"",13,"",4,"",NA,"",2,"",10,"Corpus Christi TX
 (27.79641216300047 97.40355953599965)"
"113","Memphis TN",2014,1,147,"",77,"",53,"",11,"",6,"",NA,"",15,"Memphis TN
 (35.14976130600047 90.04924570399965)"
"114","Atlanta GA",2014,1,114,"",64,"",35,"",7,"",5,"",3,"",7,"Atlanta GA
 (33.748314149000464 84.39110931499965)"
"115","Birmingham AL",2014,1,153,"",86,"",44,"",9,"",8,"",6,"",12,"Birmingham AL
 (33.520683327000484 86.81175909799964)"
"116","Kansas City MO",2014,1,72,"",47,"",17,"",4,"",1,"",3,"",6,"Kansas City MO
 (39.10295319700049 94.5830775179997)"
"117","Utica NY",2014,1,10,"",8,"",2,"",NA,"",NA,"",NA,"",NA,"Utica NY
 (43.09589383800045 75.24257707799967)"
"118","New Haven CT",2014,1,34,"",19,"",11,"",2,"",1,"",1,"",NA,"New Haven CT
 (41.307624346000466 72.92461752399964)"
"119","Paterson NJ",2014,1,17,"",11,"",5,"",NA,"",1,"",NA,"",1,"Paterson NJ
 (40.916612760000476 74.17163854999967)"
"120","Santa Cruz CA",2014,1,34,"",26,"",7,"",NA,"",1,"",NA,"",2,"Santa Cruz CA
 (36.974023514000464 122.03094750099973)"
"121","St. Petersburg FL",2014,1,57,"",35,"",17,"",2,"",NA,"",3,"",7,"St. Petersburg FL
 (27.771191804000466 82.63875661699967)"
"122","Minneapolis MN",2014,1,55,"",38,"",10,"",6,"",NA,"",1,"",5,"Minneapolis MN
 (44.97902885900049 93.26492855899966)"
"123","New England",2014,2,694,"",488,"",148,"",34,"",15,"",9,"",69,""
"124","Mid. Atlantic",2014,2,1744,"",1309,"",340,"",63,"",21,"",11,"",80,""
"125","E.N. Central",2014,2,1922,"",1332,"",442,"",90,"",21,"",37,"",141,""
"126","W.N. Central",2014,2,737,"",510,"",161,"",32,"",13,"",18,"",55,""
"127","S. Atlantic",2014,2,1263,"",812,"",327,"",67,"",34,"",19,"",86,""
"128","E.S. Central",2014,2,1221,"",781,"",331,"",65,"",24,"",20,"",118,""
